country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","28-06-2026 02:00:00",16.509717,80.612222,NH3,2,7,5
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","28-06-2026 02:00:00",26.181742,91.78063,NH3,1,1,1
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","28-06-2026 02:00:00",26.1875,91.744194,SO2,29,33,31
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","28-06-2026 02:00:00",26.349082,92.68449,PM10,48,78,61
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","28-06-2026 02:00:00",26.349082,92.68449,OZONE,5,12,10
India,Assam,Silchar,"Tarapur, Silchar - PCBA","28-06-2026 02:00:00",24.82827,92.79525,PM2.5,41,46,43
India,Assam,Silchar,"Tarapur, Silchar - PCBA","28-06-2026 02:00:00",24.82827,92.79525,PM10,50,64,54
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","28-06-2026 02:00:00",26.987634,94.636574,PM2.5,14,33,22
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-06-2026 02:00:00",26.11442,85.39813,NH3,8,13,10
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-06-2026 02:00:00",26.11442,85.39813,SO2,2,14,7
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-06-2026 02:00:00",26.11442,85.39813,OZONE,15,42,27
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","28-06-2026 02:00:00",26.1403345,85.3650192,PM2.5,40,53,47
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","28-06-2026 02:00:00",26.1403345,85.3650192,SO2,4,15,11
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","28-06-2026 02:00:00",25.599486,85.113666,PM10,61,84,70
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","28-06-2026 02:00:00",25.610369,85.132568,SO2,5,21,12
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","28-06-2026 02:00:00",26.146529,87.454184,CO,14,75,45
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","28-06-2026 02:00:00",25.5626095,84.663264,PM10,28,110,65
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","28-06-2026 02:00:00",24.75746,84.366208,NO2,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","28-06-2026 02:00:00",25.42742023,86.13886079,CO,13,20,18
India,Bihar,Munger,"Town Hall, Munger - BSPCB","28-06-2026 02:00:00",25.376776,86.471523,SO2,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-06-2026 02:00:00",26.11442,85.39813,PM10,56,326,113
India,Bihar,Patna,"Samanpura, Patna - BSPCB","28-06-2026 02:00:00",25.596727,85.085624,CO,23,27,25
India,Bihar,Patna,"Muradpur, Patna - BSPCB","28-06-2026 02:00:00",25.619651,85.147382,CO,46,82,53
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","28-06-2026 02:00:00",25.366336,87.117468,PM10,42,61,50
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","28-06-2026 02:00:00",25.366336,87.117468,OZONE,21,41,28
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","28-06-2026 02:00:00",25.0328,85.41948,PM10,32,107,65
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","28-06-2026 02:00:00",25.0328,85.41948,SO2,2,3,3
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","28-06-2026 02:00:00",25.0328,85.41948,CO,35,46,41
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","28-06-2026 02:00:00",25.892357,86.590325,NO2,6,10,7
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","28-06-2026 02:00:00",25.859655,85.77944,PM10,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","28-06-2026 02:00:00",24.952822,84.002396,PM10,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","28-06-2026 02:00:00",24.952822,84.002396,OZONE,4,16,10
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","28-06-2026 02:00:00",30.719859,76.738637,CO,43,102,60
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","28-06-2026 02:00:00",30.735567,76.775714,PM2.5,23,63,38
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","28-06-2026 02:00:00",30.735567,76.775714,SO2,3,31,8
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","28-06-2026 02:00:00",21.224231,81.40835,SO2,7,8,7
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","28-06-2026 02:00:00",21.194815,81.31477,CO,4,16,10
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","28-06-2026 02:00:00",22.08815,82.13737,PM2.5,24,71,58
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","28-06-2026 02:00:00",22.08815,82.13737,PM10,28,78,61
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","28-06-2026 02:00:00",22.08815,82.13737,SO2,10,18,13
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","28-06-2026 02:00:00",22.118125,83.140608,PM10,33,119,72
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","28-06-2026 02:00:00",22.118125,83.140608,CO,15,32,24
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","28-06-2026 02:00:00",22.348441,82.549611,CO,20,69,43
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","28-06-2026 02:00:00",22.348441,82.549611,OZONE,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","28-06-2026 02:00:00",22.12665,83.483212,PM2.5,20,55,31
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","28-06-2026 02:00:00",22.12665,83.483212,OZONE,6,13,9
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","28-06-2026 02:00:00",21.258815,81.578979,PM10,9,74,28
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","28-06-2026 02:00:00",21.258815,81.578979,NO2,4,11,7
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","28-06-2026 02:00:00",21.237755,81.705301,PM2.5,8,35,19
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","28-06-2026 02:00:00",21.237755,81.705301,NO2,0,4,1
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","28-06-2026 02:00:00",28.530785,77.271255,OZONE,4,51,22
India,Delhi,Delhi,"Rohini, Delhi - DPCC","28-06-2026 02:00:00",28.732528,77.11992,NO2,10,70,31
India,Delhi,Delhi,"Rohini, Delhi - DPCC","28-06-2026 02:00:00",28.732528,77.11992,CO,36,74,60
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","28-06-2026 02:00:00",28.672342,77.31526,OZONE,5,50,21
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","28-06-2026 02:00:00",28.6811736,77.3025234,PM2.5,84,183,127
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","28-06-2026 02:00:00",28.531346,77.190156,NO2,13,93,41
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","28-06-2026 02:00:00",28.570173,76.933762,PM10,75,141,110
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","28-06-2026 02:00:00",28.570173,76.933762,NO2,17,53,31
