system:index,tropospheric_HCHO_column_number_density,.geo
52,1.4061035839253426E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,9.387394719048999]}"
53,1.2732396241333185E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91699770989996,9.387394719048999]}"
54,2.0789018985366988E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,9.477226247460951]}"
55,1.8685574890928893E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,9.477226247460951]}"
56,1.4965971080825233E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,9.477226247460951]}"
57,1.725433851404024E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,9.477226247460951]}"
58,1.7758559018281848E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,9.477226247460951]}"
59,1.3780554153372402E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4678400678402,9.477226247460951]}"
60,1.2729193916803314E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,9.477226247460951]}"
61,1.317650509829199E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82716618148801,9.477226247460951]}"
62,1.9354080910400422E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,9.567057775872904]}"
63,2.242447701301858E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,9.567057775872904]}"
64,1.621415993771208E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,9.567057775872904]}"
65,1.628063583520695E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,9.567057775872904]}"
66,2.28282084069471E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,9.656889304284856]}"
67,2.1042935410696506E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,9.656889304284856]}"
68,2.0317995839544558E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,9.656889304284856]}"
69,1.3550414282934684E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,9.656889304284856]}"
70,1.6508615455106617E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,9.656889304284856]}"
