system:index,tropospheric_HCHO_column_number_density,.geo
1547,1.732335676834849E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,20.167178128483258]}"
1548,1.7666409511167623E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,20.167178128483258]}"
1549,1.9561127228788142E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,20.167178128483258]}"
1550,1.979074892537861E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,20.167178128483258]}"
1551,2.054323235352298E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,20.167178128483258]}"
1552,2.1335884705496862E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,20.167178128483258]}"
1553,2.1978371501452971E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,20.167178128483258]}"
1554,2.2637528421104813E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18649229513582,20.167178128483258]}"
1555,2.3979154270433746E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36615535195972,20.167178128483258]}"
1556,2.4299865589055966E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45598688037167,20.167178128483258]}"
1557,2.336766543997174E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.54581840878363,20.167178128483258]}"
1558,2.658059886949505E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.5339652213151,20.167178128483258]}"
1559,2.6218798296583654E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.713628278139,20.167178128483258]}"
1560,2.277197893068765E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.25261744861072,20.167178128483258]}"
1561,2.3068745062249682E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.94756330096928,20.167178128483258]}"
1562,2.1170361061722604E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.21705788620514,20.167178128483258]}"
1563,2.2318153127926177E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.39672094302904,20.167178128483258]}"
1564,2.641826492497983E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75604705667685,20.167178128483258]}"
1565,2.3920497524385382E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.20520469873661,20.167178128483258]}"
1566,2.45114440747937E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.47469928397247,20.167178128483258]}"
1567,2.2159570589051883E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.10351998285613,20.167178128483258]}"
1568,2.1853255056941383E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.28318303968004,20.167178128483258]}"
1569,1.8725798582053051E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.70676906200674,20.25700965689521]}"
1570,1.7062892987192084E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.60508434612626,20.25700965689521]}"
1571,1.674914830543184E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87457893136211,20.25700965689521]}"
1572,1.9503462399410632E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,20.25700965689521]}"
1573,1.7086575578746083E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,20.25700965689521]}"
1574,1.8518571865733612E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,20.25700965689521]}"
1575,1.858169627761672E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,20.25700965689521]}"
1576,1.8737445297047826E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,20.25700965689521]}"
1577,1.880253778556043E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,20.25700965689521]}"
1578,1.954587640610867E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,20.25700965689521]}"
1579,2.028916970340689E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,20.25700965689521]}"
1580,2.1739140795864974E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,20.25700965689521]}"
1581,2.299569141171264E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.00682923831191,20.25700965689521]}"
1582,2.1744974285896546E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18649229513582,20.25700965689521]}"
1583,2.3487886751083747E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36615535195972,20.25700965689521]}"
1584,2.3746606383190136E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.54581840878363,20.25700965689521]}"
1585,2.4298427522979955E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.99497605084339,20.25700965689521]}"
1586,2.6464208730466224E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.713628278139,20.25700965689521]}"
1587,2.1651412239402832E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.4204273179661,20.25700965689521]}"
1588,2.3627175957094374E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.51025884637805,20.25700965689521]}"
1589,2.539252335523207E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.04924801684976,20.25700965689521]}"
1590,2.4120812241406426E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.22891107367366,20.25700965689521]}"
1591,2.3999860723215727E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49840565890952,20.25700965689521]}"
1592,2.5128090693582824E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.56453081238442,20.25700965689521]}"
1593,1.907510655089977E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89828530629917,20.346841185307163]}"
1594,1.8305009763105095E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.88643211883064,20.346841185307163]}"
1595,1.6953956241780308E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.24575823247845,20.346841185307163]}"
1596,1.752959994123143E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.60508434612626,20.346841185307163]}"
1597,1.7517011911775412E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69491587453821,20.346841185307163]}"
1598,1.8880986612090347E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,20.346841185307163]}"
1599,1.970091069636851E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,20.346841185307163]}"
1600,2.0874940671341364E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,20.346841185307163]}"
1601,2.3753748412740257E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36615535195972,20.346841185307163]}"
1602,2.629617321998102E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.44413369290315,20.346841185307163]}"
1603,2.558149225634814E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.713628278139,20.346841185307163]}"
1604,2.4383521151323452E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.89329133496291,20.346841185307163]}"
1605,2.3548190671132674E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.25261744861072,20.346841185307163]}"
1606,2.337882937981909E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.24076426114219,20.346841185307163]}"
1607,2.545212617409987E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40857413049757,20.346841185307163]}"
1608,2.541496242099764E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.67806871573343,20.346841185307163]}"
1609,2.5426539940716635E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.93571011350076,20.346841185307163]}"
1610,2.547148557023416E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.02554164191271,20.346841185307163]}"
1611,2.5081359834907603E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.47469928397247,20.346841185307163]}"
1612,2.1414440481299472E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.07794836312307,20.436672713719112]}"
1613,1.6524628843276397E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.88643211883064,20.436672713719112]}"
1614,1.793126088262052E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.24575823247845,20.436672713719112]}"
1615,1.6597665387979658E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.3355897608904,20.436672713719112]}"
1616,1.8421574166822333E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.78474740295016,20.436672713719112]}"
1617,1.7618918137174953E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87457893136211,20.436672713719112]}"
1618,1.733620812480812E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,20.436672713719112]}"
1619,1.988814060213029E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,20.436672713719112]}"
1620,1.8962039681438074E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,20.436672713719112]}"
1621,1.86256126209089E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,20.436672713719112]}"
1622,2.0796593667346636E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4678400678402,20.436672713719112]}"
1623,2.0500041790866378E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,20.436672713719112]}"
1624,2.185885353951587E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82716618148801,20.436672713719112]}"
1625,2.2657708368713648E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91699770989996,20.436672713719112]}"
1626,2.1528966032265345E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18649229513582,20.436672713719112]}"
1627,2.4513971769272297E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63564993719558,20.436672713719112]}"
1628,2.4078774071838565E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90514452243143,20.436672713719112]}"
1629,2.5118413618157746E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17463910766729,20.436672713719112]}"
1630,2.570847652095548E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.44413369290315,20.436672713719112]}"
1631,2.466939029291716E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.07295439178681,20.436672713719112]}"
1632,2.380223584649119E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.34244897702267,20.436672713719112]}"
1633,2.336768926420702E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.43228050543462,20.436672713719112]}"
1634,2.3309088812932644E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.88143814749438,20.436672713719112]}"
1635,2.3701732908735457E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.15093273273024,20.436672713719112]}"
1636,2.288015873730074E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.4204273179661,20.436672713719112]}"
1637,2.6233470078980946E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.68992190320195,20.436672713719112]}"
1638,2.616527494092035E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.95941648843781,20.436672713719112]}"
1639,2.5197303422702704E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49840565890952,20.436672713719112]}"
1640,2.4616517232166883E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.85773177255733,20.436672713719112]}"
1641,2.1367354802362404E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.21705788620514,20.436672713719112]}"
1642,2.587755061124421E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75604705667685,20.436672713719112]}"
1643,2.7160755450647024E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.02554164191271,20.436672713719112]}"
1644,2.611552180073503E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.11537317032466,20.436672713719112]}"
1645,2.5371935484253157E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.20520469873661,20.436672713719112]}"
1646,2.5925255171708897E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.56453081238442,20.436672713719112]}"
1647,2.319264799251542E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.46284609650394,20.436672713719112]}"
1648,2.104133565929224E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.64250915332785,20.436672713719112]}"
1649,1.8300907548917915E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89828530629917,20.526504242131065]}"
1650,1.9734915949541005E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.98811683471112,20.526504242131065]}"
1651,1.9800942509388698E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.52710600518283,20.526504242131065]}"
1652,1.6630423079722293E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.97626364724259,20.526504242131065]}"
1653,1.8070230759327608E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1559267040665,20.526504242131065]}"
1654,1.7883761335955514E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.3355897608904,20.526504242131065]}"
1655,1.8610381150893656E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.51525281771431,20.526504242131065]}"
1656,1.7930747952236102E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.78474740295016,20.526504242131065]}"
1657,1.7684938711591184E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.14407351659797,20.526504242131065]}"
1658,1.9327573953590655E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.23390504500992,20.526504242131065]}"
1659,1.647271299339803E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,20.526504242131065]}"
1660,1.7088108436123347E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,20.526504242131065]}"
1661,1.9119458419560644E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,20.526504242131065]}"
1662,1.8833524668250153E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,20.526504242131065]}"
1663,1.7857087971853683E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,20.526504242131065]}"
1664,2.0232944303129208E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,20.526504242131065]}"
1665,2.1441587060281372E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,20.526504242131065]}"
1666,2.1744110850739734E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36615535195972,20.526504242131065]}"
1667,2.2584171064166979E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72548146560753,20.526504242131065]}"
1668,2.4230791447183401E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.99497605084339,20.526504242131065]}"
1669,2.6023493842331754E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.62379674972705,20.526504242131065]}"
1670,2.4070079976365848E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.07295439178681,20.526504242131065]}"
1671,2.498546245840245E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.51025884637805,20.526504242131065]}"
1672,2.5818655952052153E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.68992190320195,20.526504242131065]}"
1673,2.6492457000392913E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40857413049757,20.526504242131065]}"
1674,2.424083598103433E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.85773177255733,20.526504242131065]}"
1675,2.3058695876015424E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.12722635779319,20.526504242131065]}"
1676,2.579005851609503E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.48655247144099,20.526504242131065]}"
1677,2.608802185797942E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.57638399985295,20.526504242131065]}"
1678,2.6828604346200994E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.02554164191271,20.526504242131065]}"
1679,2.469660736758892E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.38486775556052,20.526504242131065]}"
1680,2.4049906875850266E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01368845444418,20.526504242131065]}"
1681,2.3062256241546076E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.46284609650394,20.526504242131065]}"
1682,2.1683664915078695E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.55267762491589,20.526504242131065]}"
1683,2.0969704511995395E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.07794836312307,20.616335770543017]}"
1684,1.9206884373145148E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.34744294835893,20.616335770543017]}"
1685,1.8905274035205477E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79660059041869,20.616335770543017]}"
1686,1.8106117229134628E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.24575823247845,20.616335770543017]}"
1687,1.7836409767147397E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69491587453821,20.616335770543017]}"
1688,1.8722593275869608E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.78474740295016,20.616335770543017]}"
1689,1.8892137046323037E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87457893136211,20.616335770543017]}"
1690,1.7613758230915772E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.96441045977407,20.616335770543017]}"
1691,1.8318738792879555E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86272574389359,20.616335770543017]}"
1692,1.834596796152568E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,20.616335770543017]}"
1693,1.9511041114307032E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,20.616335770543017]}"
1694,1.951079255115427E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,20.616335770543017]}"
1695,1.8915211371531445E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,20.616335770543017]}"
1696,2.3640950331957662E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81531299401948,20.616335770543017]}"
1697,2.405073723241358E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90514452243143,20.616335770543017]}"
1698,2.4236029231807687E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.98312286337486,20.616335770543017]}"
1699,2.3599873101230406E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.70177509067048,20.616335770543017]}"
1700,2.3526313940807575E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.15093273273024,20.616335770543017]}"
1701,2.470137637639581E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.68992190320195,20.616335770543017]}"
1702,2.5040976235633815E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.94756330096928,20.616335770543017]}"
1703,2.4771084213226854E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.21705788620514,20.616335770543017]}"
1704,2.469252693320953E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.30688941461709,20.616335770543017]}"
1705,2.505112565297287E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.39672094302904,20.616335770543017]}"
1706,2.6079539533514426E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8458785850888,20.616335770543017]}"
1707,2.6431026862269556E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.56453081238442,20.616335770543017]}"
1708,2.3101082656680214E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.7323406817398,20.616335770543017]}"
1709,1.587935323940042E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.88643211883064,20.70616729895497]}"
1710,1.5464676168609217E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.97626364724259,20.70616729895497]}"
1711,1.69985753597612E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.06609517565454,20.70616729895497]}"
1712,1.8072880002647845E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69491587453821,20.70616729895497]}"
1713,1.898872383965408E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.78474740295016,20.70616729895497]}"
1714,1.8568758464108175E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.50339963024578,20.70616729895497]}"
1715,1.853072614526592E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,20.70616729895497]}"
1716,1.8762530996183828E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,20.70616729895497]}"
1717,1.9636627368885585E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,20.70616729895497]}"
1718,1.8789065374500845E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,20.70616729895497]}"
1719,2.0942170797568586E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,20.70616729895497]}"
1720,2.2095538131916814E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.27632382354777,20.70616729895497]}"
1721,2.3343970768918273E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63564993719558,20.70616729895497]}"
1722,2.391278872178646E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.89329133496291,20.70616729895497]}"
1723,2.4086506556929047E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.52211203384657,20.70616729895497]}"
1724,2.336469692339744E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.88143814749438,20.70616729895497]}"
1725,2.3406792609249E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.06110120431829,20.70616729895497]}"
1726,2.4021832076467794E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.24076426114219,20.70616729895497]}"
1727,2.4791451141689653E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8458785850888,20.70616729895497]}"
1728,2.5569268776131526E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.02554164191271,20.70616729895497]}"
1729,2.2352715701908597E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.82217221015175,20.70616729895497]}"
1730,1.8579790597940795E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89828530629917,20.795998827366923]}"
1731,1.8440118183205869E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.98811683471112,20.795998827366923]}"
1732,1.955591885999531E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.07794836312307,20.795998827366923]}"
1733,1.7905138590495586E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.24575823247845,20.795998827366923]}"
1734,1.835953833031718E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.78474740295016,20.795998827366923]}"
1735,1.7892632516995253E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.14407351659797,20.795998827366923]}"
1736,1.8515855210444665E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,20.795998827366923]}"
1737,1.8591449366802293E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,20.795998827366923]}"
1738,1.9880779892927108E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,20.795998827366923]}"
1739,1.952557499445087E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,20.795998827366923]}"
1740,1.8549927133537078E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,20.795998827366923]}"
1741,1.9590012493381304E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,20.795998827366923]}"
1742,2.206684323746055E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.27632382354777,20.795998827366923]}"
1743,2.1681337794190753E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36615535195972,20.795998827366923]}"
1744,2.2457934604844452E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63564993719558,20.795998827366923]}"
1745,2.2143868452633152E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90514452243143,20.795998827366923]}"
1746,2.2594491953818494E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17463910766729,20.795998827366923]}"
1747,2.407661052471721E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26447063607924,20.795998827366923]}"
1748,2.4363695774959348E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.89329133496291,20.795998827366923]}"
1749,2.3701653253262915E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.52211203384657,20.795998827366923]}"
1750,2.520523853567819E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.24076426114219,20.795998827366923]}"
1751,2.625193701419087E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40857413049757,20.795998827366923]}"
1752,2.4722843564851417E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.30688941461709,20.795998827366923]}"
1753,2.569618105747432E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75604705667685,20.795998827366923]}"
1754,2.626795947981785E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.93571011350076,20.795998827366923]}"
1755,2.82096466223425E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.29503622714856,20.795998827366923]}"
1756,2.4295521638070033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01368845444418,20.795998827366923]}"
1757,2.5597225295792016E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.10351998285613,20.795998827366923]}"
1758,2.4538376952630336E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.28318303968004,20.795998827366923]}"
1759,1.479235930629042E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.92199168123622,20.885830355778875]}"
1760,1.526650217446733E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.10165473806012,20.885830355778875]}"
1761,1.5191952839230873E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.28131779488403,20.885830355778875]}"
1762,1.5794037726404061E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.37114932329598,20.885830355778875]}"
1763,2.0608392804123072E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.61693753359478,20.885830355778875]}"
1764,1.975847497648715E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79660059041869,20.885830355778875]}"
1765,1.794002958775598E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.60508434612626,20.885830355778875]}"
1766,1.804756315003211E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69491587453821,20.885830355778875]}"
1767,1.897618699748263E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.78474740295016,20.885830355778875]}"
1768,1.9306114132652675E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.41356810183383,20.885830355778875]}"
1769,1.9084958217926846E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.50339963024578,20.885830355778875]}"
1770,1.98530030496676E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.68306268706968,20.885830355778875]}"
1771,1.9542632613678797E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77289421548164,20.885830355778875]}"
1772,1.8492144352584246E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,20.885830355778875]}"
