lat,lng,hcho_value,severity
6.782280395102387,93.82903142628402,96.49539534100668,Moderate
7.0517749803382435,93.82903142628402,82.73724829119602,Moderate
7.3212695655741,93.6493683694601,106.79180748145468,Moderate
8.129753321281669,77.56952478372068,146.60338691704658,High
8.219584849693621,77.38986172689677,157.23517706693067,High
8.309416378105574,77.30003019848482,155.7615188248841,High
8.309416378105574,77.65935631213263,148.0768759389964,High
8.489079434929478,77.03053561324897,188.64206047542257,High
8.489079434929478,77.30003019848482,129.6228783745949,High
8.489079434929478,77.56952478372068,154.32372218394053,High
8.489079434929478,77.65935631213263,145.23136515739458,High
8.489079434929478,78.01868242578044,148.23530086257048,High
8.57891096334143,77.12036714166092,159.5858218874247,High
8.57891096334143,77.47969325530873,154.7108541631373,High
8.57891096334143,77.65935631213263,149.18685582328808,High
8.57891096334143,77.74918784054458,142.17271065528084,High
8.668742491753383,76.85087255642506,196.42573464911,High
8.668742491753383,77.12036714166092,137.88710542278295,High
8.668742491753383,77.38986172689677,158.68585187729144,High
8.668742491753383,77.65935631213263,150.43969681963955,High
8.668742491753383,77.83901936895654,140.69364992450656,High
8.758574020165334,77.21019867007287,122.69656515592682,High
8.758574020165334,77.65935631213263,157.1752954084493,High
8.758574020165334,77.83901936895654,144.95854569355865,High
8.758574020165334,77.92885089736849,137.75529106057652,High
8.848405548577286,76.85087255642506,186.65963536363657,High
8.848405548577286,76.94070408483701,177.31334019913885,High
8.848405548577286,78.10851395419239,135.04381765076278,High
8.938237076989239,77.12036714166092,155.62994131874916,High
8.938237076989239,77.38986172689677,169.7516330867333,High
8.938237076989239,78.01868242578044,135.41779213317142,High
9.028068605401192,76.76104102801311,190.9280296552841,High
9.028068605401192,77.65935631213263,155.37603434886708,High
9.117900133813142,76.85087255642506,182.3806980187564,High
9.117900133813142,76.94070408483701,171.18248823899177,High
9.117900133813142,77.21019867007287,129.49089236190378,High
9.117900133813142,77.30003019848482,151.88377350320718,High
9.117900133813142,77.47969325530873,154.5399468004125,High
9.117900133813142,77.74918784054458,149.89507926376152,High
9.117900133813142,78.37800853942825,144.00350047567414,High
9.207731662225095,76.5813779711892,206.5646133513223,High
9.207731662225095,77.03053561324897,165.63538807593116,High
9.207731662225095,77.47969325530873,170.4299242778606,High
9.207731662225095,78.55767159625215,127.36264074161963,High
9.297563190637048,76.67120949960116,206.2701746972476,High
9.297563190637048,77.47969325530873,165.2961157318908,High
9.297563190637048,78.19834548260434,136.23825962198063,High
9.297563190637048,78.91699770989996,121.75413252968141,High
9.387394719048999,76.4017149143653,198.2569017323288,High
9.387394719048999,76.67120949960116,208.67643923642657,High
